Model,Feature,Importance (%)
XGBoost,Q61,15.105289459228516
XGBoost,Q64,44.568355560302734
XGBoost,EEI,39.22353744506836
XGBoost,DAGEGRP,0.3137100338935852
XGBoost,DSEX,0.2818787395954132
XGBoost,DSUPER,0.25481978058815
XGBoost,DFEDTEN,0.2524096965789795
LightGBM,Q61,21.163490471414242
LightGBM,Q64,18.85656970912738
LightGBM,EEI,34.36977599465062
LightGBM,DAGEGRP,4.513540621865597
LightGBM,DSEX,4.881310598462052
LightGBM,DSUPER,5.784018722835172
LightGBM,DFEDTEN,10.431293881644935
Gradient Boosting,Q61,10.480871066348314
Gradient Boosting,Q64,34.89863174455345
Gradient Boosting,EEI,54.33552124842981
Gradient Boosting,DAGEGRP,0.0661179445204147
Gradient Boosting,DSEX,0.06118724780594194
Gradient Boosting,DSUPER,0.06727222493632548
Gradient Boosting,DFEDTEN,0.09039852340576403
Extra Trees,Q61,24.68420438852316
Extra Trees,Q64,42.96915039901731
Extra Trees,EEI,31.863629826285084
Extra Trees,DAGEGRP,0.11191684165810405
Extra Trees,DSEX,0.11604427421673662
Extra Trees,DSUPER,0.11984382010856781
Extra Trees,DFEDTEN,0.1352104501910497
Random Forest,Q61,10.69794426919188
Random Forest,Q64,27.701398626567997
Random Forest,EEI,60.64230335630841
Random Forest,DAGEGRP,0.18591718939442908
Random Forest,DSEX,0.2196223100851531
Random Forest,DSUPER,0.21492585026693967
Random Forest,DFEDTEN,0.3378883981851978
