Rank,Model,R² (Test),R² (Train),MAE,RMSE,CV R² Mean,CV R² Std,Train Time (s)
1,XGBoost,0.5322,0.5339,0.6056,0.8016,0.5241,0.0031,2.69
2,LightGBM,0.5322,0.5337,0.6057,0.8015,0.5243,0.0058,0.38
3,Gradient Boosting,0.5321,0.534,0.6057,0.8016,0.5239,0.0104,18.05
4,Extra Trees,0.5308,0.5369,0.6074,0.8027,0.523,0.0127,2.27
5,Random Forest,0.5307,0.5374,0.6063,0.8028,0.5142,0.0042,3.13
6,Decision Tree,0.5287,0.5357,0.6072,0.8045,0.5079,0.0053,0.21
7,MLP Neural Net,0.5259,0.5343,0.6202,0.807,0.5268,0.009,2.42
8,Linear Regression,0.5254,0.5243,0.6172,0.8073,0.5242,0.0034,0.06
9,Ridge Regression,0.5254,0.5243,0.6172,0.8073,0.523,0.0052,0.05
10,Elastic Net,0.5253,0.5242,0.6184,0.8075,0.528,0.0061,0.04
11,Lasso Regression,0.525,0.524,0.6192,0.8077,0.5194,0.0034,0.06
12,Bagging,0.5138,0.5522,0.6136,0.8172,0.4706,0.0082,2.44
13,AdaBoost,0.4703,0.4697,0.6945,0.853,0.4727,0.0093,2.45
14,KNN,0.4689,0.5512,0.6425,0.854,0.4657,0.0064,0.03
